number,track,tier,title,body,labels
21,python,1,[Python] Alphabetize the quick reference list,`python/reference.md` has an unsorted list. Alphabetize it.,"track:python,tier:1,good first issue"
22,python,1,[Python] Add a welcome message,Add a short welcome sentence or emoji to `python/WELCOME.md`.,"track:python,tier:1,good first issue"
23,python,1,[Python] Add a changelog entry,Add a one-line entry to `python/CHANGELOG.md` describing this very PR (e.g. 'Added welcome message').,"track:python,tier:1,good first issue"
24,python,1,[Python] Add an FAQ entry,"Think of a question a brand-new student in Python might ask, and add a Q&A entry to `python/FAQ.md`.","track:python,tier:1,good first issue"
25,python,1,[Python] Add a comment to exercises/sample_03,`python/exercises/sample_03` needs a short comment explaining its purpose. Add one.,"track:python,tier:1,good first issue"
26,python,1,[Python] Add a Definition-of-Done checklist item,Add one more checklist item to `python/CONTRIBUTING_NOTES.md` that you think matters for this track.,"track:python,tier:1,good first issue"
27,python,1,[Python] Fix broken markdown link,The link to CONTRIBUTING.md in `python/README.md` may be broken depending on your fork structure — verify it and fix it if needed.,"track:python,tier:1,good first issue"
28,python,1,[Python] Clean up notes.md formatting,`python/notes.md` has inconsistent indentation on purpose. Fix it so every line is consistently formatted.,"track:python,tier:1,good first issue"
29,python,1,[Python] Add a resources bullet,Add one bullet point under a new 'Resources' section in `python/README.md` — a link you found helpful for Python.,"track:python,tier:1,good first issue"
30,python,1,[Python] Open a PR with just a whitespace fix,Find any trailing whitespace or missing final newline in a file under `python/` and fix it. Small PRs count too!,"track:python,tier:1,good first issue"
31,data-engineering,1,[Data Engineering] Add your name to CONTRIBUTORS.md,"Add your name and one fun fact to `data-engineering/CONTRIBUTORS.md` in the table.

This is a great first-ever PR — the goal is just to practice fork → branch → PR → merge.","track:data-engineering,tier:1,good first issue"
32,data-engineering,1,[Data Engineering] Fix the typo in the track README,There's a typo in `data-engineering/README.md` (hint: 'recieve' should be 'receive'). Fix it and open a PR.,"track:data-engineering,tier:1,good first issue"
33,data-engineering,1,[Data Engineering] Add a comment to exercises/sample_01,Add a one-line comment explaining what `data-engineering/exercises/sample_01` does.,"track:data-engineering,tier:1,good first issue"
34,data-engineering,1,[Data Engineering] Fix inconsistent indentation in exercises/sample_02,`data-engineering/exercises/sample_02` has inconsistent indentation. Clean it up so it's consistent throughout.,"track:data-engineering,tier:1,good first issue"
35,data-engineering,1,[Data Engineering] Add your GitHub username to PARTICIPANTS.md,Add your GitHub username as a new bullet in `data-engineering/PARTICIPANTS.md`.,"track:data-engineering,tier:1,good first issue"
36,data-engineering,1,[Data Engineering] Alphabetize the quick reference list,`data-engineering/reference.md` has an unsorted list. Alphabetize it.,"track:data-engineering,tier:1,good first issue"
37,data-engineering,1,[Data Engineering] Add a welcome message,Add a short welcome sentence or emoji to `data-engineering/WELCOME.md`.,"track:data-engineering,tier:1,good first issue"
38,data-engineering,1,[Data Engineering] Add a changelog entry,Add a one-line entry to `data-engineering/CHANGELOG.md` describing this very PR (e.g. 'Added welcome message').,"track:data-engineering,tier:1,good first issue"
39,data-engineering,1,[Data Engineering] Add an FAQ entry,"Think of a question a brand-new student in Data Engineering might ask, and add a Q&A entry to `data-engineering/FAQ.md`.","track:data-engineering,tier:1,good first issue"
40,data-engineering,1,[Data Engineering] Add a comment to exercises/sample_03,`data-engineering/exercises/sample_03` needs a short comment explaining its purpose. Add one.,"track:data-engineering,tier:1,good first issue"
41,data-engineering,1,[Data Engineering] Add a Definition-of-Done checklist item,Add one more checklist item to `data-engineering/CONTRIBUTING_NOTES.md` that you think matters for this track.,"track:data-engineering,tier:1,good first issue"
42,data-engineering,1,[Data Engineering] Fix broken markdown link,The link to CONTRIBUTING.md in `data-engineering/README.md` may be broken depending on your fork structure — verify it and fix it if needed.,"track:data-engineering,tier:1,good first issue"
43,data-engineering,1,[Data Engineering] Clean up notes.md formatting,`data-engineering/notes.md` has inconsistent indentation on purpose. Fix it so every line is consistently formatted.,"track:data-engineering,tier:1,good first issue"
44,data-engineering,1,[Data Engineering] Add a resources bullet,Add one bullet point under a new 'Resources' section in `data-engineering/README.md` — a link you found helpful for Data Engineering.,"track:data-engineering,tier:1,good first issue"
45,data-engineering,1,[Data Engineering] Open a PR with just a whitespace fix,Find any trailing whitespace or missing final newline in a file under `data-engineering/` and fix it. Small PRs count too!,"track:data-engineering,tier:1,good first issue"
46,data-science,1,[Data Science] Add your name to CONTRIBUTORS.md,"Add your name and one fun fact to `data-science/CONTRIBUTORS.md` in the table.

This is a great first-ever PR — the goal is just to practice fork → branch → PR → merge.","track:data-science,tier:1,good first issue"
47,data-science,1,[Data Science] Fix the typo in the track README,There's a typo in `data-science/README.md` (hint: 'recieve' should be 'receive'). Fix it and open a PR.,"track:data-science,tier:1,good first issue"
48,data-science,1,[Data Science] Add a comment to exercises/sample_01,Add a one-line comment explaining what `data-science/exercises/sample_01` does.,"track:data-science,tier:1,good first issue"
49,data-science,1,[Data Science] Fix inconsistent indentation in exercises/sample_02,`data-science/exercises/sample_02` has inconsistent indentation. Clean it up so it's consistent throughout.,"track:data-science,tier:1,good first issue"
50,data-science,1,[Data Science] Add your GitHub username to PARTICIPANTS.md,Add your GitHub username as a new bullet in `data-science/PARTICIPANTS.md`.,"track:data-science,tier:1,good first issue"
51,data-science,1,[Data Science] Alphabetize the quick reference list,`data-science/reference.md` has an unsorted list. Alphabetize it.,"track:data-science,tier:1,good first issue"
52,data-science,1,[Data Science] Add a welcome message,Add a short welcome sentence or emoji to `data-science/WELCOME.md`.,"track:data-science,tier:1,good first issue"
53,data-science,1,[Data Science] Add a changelog entry,Add a one-line entry to `data-science/CHANGELOG.md` describing this very PR (e.g. 'Added welcome message').,"track:data-science,tier:1,good first issue"
54,data-science,1,[Data Science] Add an FAQ entry,"Think of a question a brand-new student in Data Science might ask, and add a Q&A entry to `data-science/FAQ.md`.","track:data-science,tier:1,good first issue"
55,data-science,1,[Data Science] Add a comment to exercises/sample_03,`data-science/exercises/sample_03` needs a short comment explaining its purpose. Add one.,"track:data-science,tier:1,good first issue"
56,data-science,1,[Data Science] Add a Definition-of-Done checklist item,Add one more checklist item to `data-science/CONTRIBUTING_NOTES.md` that you think matters for this track.,"track:data-science,tier:1,good first issue"
57,data-science,1,[Data Science] Fix broken markdown link,The link to CONTRIBUTING.md in `data-science/README.md` may be broken depending on your fork structure — verify it and fix it if needed.,"track:data-science,tier:1,good first issue"
58,data-science,1,[Data Science] Clean up notes.md formatting,`data-science/notes.md` has inconsistent indentation on purpose. Fix it so every line is consistently formatted.,"track:data-science,tier:1,good first issue"
59,data-science,1,[Data Science] Add a resources bullet,Add one bullet point under a new 'Resources' section in `data-science/README.md` — a link you found helpful for Data Science.,"track:data-science,tier:1,good first issue"
60,data-science,1,[Data Science] Open a PR with just a whitespace fix,Find any trailing whitespace or missing final newline in a file under `data-science/` and fix it. Small PRs count too!,"track:data-science,tier:1,good first issue"
61,sql,2,[SQL] Write a query that selects all columns from `customers`,"Write a query that selects all columns from `customers`.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
62,sql,2,[SQL] Write a query that filters `orders` where `amount > 1000`,"Write a query that filters `orders` where `amount > 1000`.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
63,sql,2,[SQL] Write a query that orders `customers` by `name` ascending,"Write a query that orders `customers` by `name` ascending.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
64,sql,2,[SQL] Write a query that counts the total number of rows in `orders`,"Write a query that counts the total number of rows in `orders`.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
65,sql,2,[SQL] Write a query that finds customers whose name contains 'a' (use LIKE),"Write a query that finds customers whose name contains 'a' (use LIKE).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
66,sql,2,[SQL] Write a query that returns distinct cities from `customers`,"Write a query that returns distinct cities from `customers`.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
67,sql,2,[SQL] Write a query joining `customers` and `orders` on `customer_id`,"Write a query joining `customers` and `orders` on `customer_id`.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
68,sql,2,[SQL] Write a query calculating total spend per customer (SUM + GROUP BY),"Write a query calculating total spend per customer (SUM + GROUP BY).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
69,sql,2,[SQL] Write a query returning the top 3 customers by total spend,"Write a query returning the top 3 customers by total spend.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
70,sql,2,[SQL] Write a query finding customers with zero orders (LEFT JOIN + NULL che,"Write a query finding customers with zero orders (LEFT JOIN + NULL check).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
71,sql,2,[SQL] Write a query using HAVING to find customers who spent over 3000 total,"Write a query using HAVING to find customers who spent over 3000 total.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
72,sql,2,[SQL] Add a CASE WHEN column labeling orders as 'small' (<1000) or 'large' (,"Add a CASE WHEN column labeling orders as 'small' (<1000) or 'large' (>=1000).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
73,sql,2,[SQL] Write a subquery finding customers who spent above the average,"Write a subquery finding customers who spent above the average.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
74,sql,2,[SQL] Write a query counting orders placed per month,"Write a query counting orders placed per month.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
75,sql,2,[SQL] Write a query finding the second-highest single order amount,"Write a query finding the second-highest single order amount.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
76,sql,2,[SQL] Fix the bug in `sql/exercises/broken_query,"Fix the bug in `sql/exercises/broken_query.sql` (hint: GROUP BY syntax).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
77,sql,2,[SQL] Add inline comments to `sql/sample_data,"Add inline comments to `sql/sample_data.sql` explaining what each INSERT represents.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
78,sql,2,[SQL] Write a query returning customers who signed up in the same month as t,"Write a query returning customers who signed up in the same month as their first order.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
79,sql,2,[SQL] Write a query showing running total of order amounts ordered by date,"Write a query showing running total of order amounts ordered by date.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
80,sql,2,[SQL] Write a query using UNION to combine customer names and order IDs into,"Write a query using UNION to combine customer names and order IDs into one text column (creative — explain your approach in the PR).

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
81,sql,2,[SQL] Write a query returning the city with the highest total order amount,"Write a query returning the city with the highest total order amount.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
82,sql,2,[SQL] Write a query that returns each customer's most recent order date,"Write a query that returns each customer's most recent order date.

Work in the `sql/` folder (see sql/schema.sql and sql/sample_data.sql). Claim this issue by commenting before you start.","track:sql,tier:2,challenge"
83,python,2,[Python] Implement `is_palindrome()` in `python/utils,"Implement `is_palindrome()` in `python/utils.py` and add a docstring.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
84,python,2,[Python] Implement `reverse_words()` in `python/utils,"Implement `reverse_words()` in `python/utils.py` (reverses word order in a sentence).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
85,python,2,[Python] Implement `fizzbuzz()` in `python/utils,"Implement `fizzbuzz()` in `python/utils.py` (returns list of strings 1..n with Fizz/Buzz rules).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
86,python,2,[Python] Implement `factorial()` in `python/utils,"Implement `factorial()` in `python/utils.py` using a loop (not recursion).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
87,python,2,[Python] Implement `is_prime()` in `python/utils,"Implement `is_prime()` in `python/utils.py`.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
88,python,2,[Python] Fix the bug in `python/broken/buggy_counter,"Fix the bug in `python/broken/buggy_counter.py` (hint: uppercase vowels aren't counted).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
89,python,2,[Python] Add type hints to all functions in `python/utils,"Add type hints to all functions in `python/utils.py` that don't have them yet.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
90,python,2,[Python] Add a simple test (in a new `python/tests/test_utils,"Add a simple test (in a new `python/tests/test_utils.py`) for `fizzbuzz()`.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
91,python,2,[Python] Add a simple test for `is_palindrome()` covering an edge case (empty s,"Add a simple test for `is_palindrome()` covering an edge case (empty string).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
92,python,2,[Python] Refactor `reverse_words()` to handle multiple spaces between words cor,"Refactor `reverse_words()` to handle multiple spaces between words correctly.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
93,python,2,[Python] Add error handling to `factorial()` for negative input (raise a clear ,"Add error handling to `factorial()` for negative input (raise a clear ValueError).

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
94,python,2,"[Python] Write a function `count_vowels(s)` that correctly counts both cases, w","Write a function `count_vowels(s)` that correctly counts both cases, with a docstring.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
95,python,2,[Python] Write a function `flatten(nested_list)` that flattens a list of lists ,"Write a function `flatten(nested_list)` that flattens a list of lists one level deep.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
96,python,2,"[Python] Write a function `chunk_list(lst, size)` that splits a list into chunk","Write a function `chunk_list(lst, size)` that splits a list into chunks of given size.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
97,python,2,[Python] Write a function `most_common_word(text)` returning the most frequent ,"Write a function `most_common_word(text)` returning the most frequent word.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
98,python,2,[Python] Add a `README,"Add a `README.md` usage example for one function of your choice in `python/utils.py`.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
99,python,2,[Python] Write a function `unique_preserve_order(lst)` that removes duplicates ,"Write a function `unique_preserve_order(lst)` that removes duplicates while keeping order.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
100,python,2,"[Python] Write a function `is_anagram(a, b)` checking whether two strings are a","Write a function `is_anagram(a, b)` checking whether two strings are anagrams.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
101,python,2,[Python] Add a `,"Add a `.gitignore` entry for `__pycache__/` if it's missing from the repo root.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
102,python,2,"[Python] Write a function `safe_divide(a, b)` that returns None instead of rais","Write a function `safe_divide(a, b)` that returns None instead of raising on divide-by-zero.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
103,python,2,[Python] Write a function `word_count(text)` returning a dictionary of word fre,"Write a function `word_count(text)` returning a dictionary of word frequencies.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
104,python,2,"[Python] Add docstrings (Google or NumPy style — your choice, be consistent) to","Add docstrings (Google or NumPy style — your choice, be consistent) to any 2 functions missing one.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
105,python,2,[Python] Write a function `celsius_to_fahrenheit(c)` with a one-line usage exam,"Write a function `celsius_to_fahrenheit(c)` with a one-line usage example in a comment.

Work in the `python/` folder (see python/utils.py). Claim this issue by commenting before you start.","track:python,tier:2,challenge"
106,data-engineering,2,[Data Engineering] Implement `check_no_nulls()` in `data-engineering/validators,"Implement `check_no_nulls()` in `data-engineering/validators.py`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
107,data-engineering,2,[Data Engineering] Implement `check_no_duplicates()` in `data-engineering/validators,"Implement `check_no_duplicates()` in `data-engineering/validators.py`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
108,data-engineering,2,[Data Engineering] Implement `check_valid_date()` in `data-engineering/validators,"Implement `check_valid_date()` in `data-engineering/validators.py`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
109,data-engineering,2,[Data Engineering] Write a script `clean_dataset,"Write a script `clean_dataset.py` that removes duplicate rows from `dataset_raw.csv`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
110,data-engineering,2,[Data Engineering] Write a script that reports how many null values exist per column in `,"Write a script that reports how many null values exist per column in `dataset_raw.csv`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
111,data-engineering,2,[Data Engineering] Write a function that fixes the invalid date row in `dataset_raw,"Write a function that fixes the invalid date row in `dataset_raw.csv` (or flags it clearly).

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
112,data-engineering,2,[Data Engineering] Add logging (using Python's `logging` module) to one validator functio,"Add logging (using Python's `logging` module) to one validator function.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
113,data-engineering,2,"[Data Engineering] Write a function `deduplicate(rows, key)` returning rows with duplicat","Write a function `deduplicate(rows, key)` returning rows with duplicates removed, keeping the first occurrence.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
114,data-engineering,2,[Data Engineering] Write a function `standardize_country_names(rows)` fixing inconsistent,"Write a function `standardize_country_names(rows)` fixing inconsistent capitalization.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
115,data-engineering,2,[Data Engineering] Add a config file (`config,"Add a config file (`config.yaml` or `.json`) defining which columns are required — and a function that reads it.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
116,data-engineering,2,[Data Engineering] Write a function `row_count_by_country(rows)` returning counts grouped,"Write a function `row_count_by_country(rows)` returning counts grouped by country.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
117,data-engineering,2,[Data Engineering] Write a function that validates email format in `dataset_raw,"Write a function that validates email format in `dataset_raw.csv` and flags invalid ones.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
118,data-engineering,2,[Data Engineering] Add a simple test for `check_no_nulls()` using a small hardcoded list ,"Add a simple test for `check_no_nulls()` using a small hardcoded list of rows.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
119,data-engineering,2,"[Data Engineering] Write a function `export_clean_csv(rows, path)` that writes validated ","Write a function `export_clean_csv(rows, path)` that writes validated rows to a new CSV.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
120,data-engineering,2,[Data Engineering] Add docstrings to all functions in `validators,"Add docstrings to all functions in `validators.py` that are missing one.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
121,data-engineering,2,[Data Engineering] Write a function that merges two mock datasets on `user_id` (create a ,"Write a function that merges two mock datasets on `user_id` (create a second small CSV to merge with).

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
122,data-engineering,2,"[Data Engineering] Add a comment-based explanation of why data validation matters, in `da","Add a comment-based explanation of why data validation matters, in `data-engineering/README.md`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
123,data-engineering,2,"[Data Engineering] Write a function `flag_outliers(values, threshold)` returning indices ","Write a function `flag_outliers(values, threshold)` returning indices of values above a threshold.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
124,data-engineering,2,[Data Engineering] Write a function converting all date strings in a dataset to a single ,"Write a function converting all date strings in a dataset to a single consistent format.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
125,data-engineering,2,[Data Engineering] Add a `requirements,"Add a `requirements.txt` for the data-engineering track listing the libraries used.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
126,data-engineering,2,[Data Engineering] Write a function that counts how many rows would be dropped by each va,"Write a function that counts how many rows would be dropped by each validator, without dropping them yet.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
127,data-engineering,2,[Data Engineering] Write a short DAG-style comment (pseudocode) describing the order thes,"Write a short DAG-style comment (pseudocode) describing the order these validators should run in, in `data-engineering/README.md`.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
128,data-engineering,2,"[Data Engineering] Write a function `sample_rows(rows, n)` returning a random sample of n","Write a function `sample_rows(rows, n)` returning a random sample of n rows for spot-checking.

Work in the `data-engineering/` folder (see data-engineering/validators.py and dataset_raw.csv). Claim this issue by commenting before you start.","track:data-engineering,tier:2,challenge"
129,data-science,2,[Data Science] Implement `total_by_category()` in `data-science/analysis,"Implement `total_by_category()` in `data-science/analysis.py`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
130,data-science,2,[Data Science] Implement `plot_by_region()` in `data-science/analysis,"Implement `plot_by_region()` in `data-science/analysis.py` using matplotlib.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
131,data-science,2,[Data Science] Add a function `average_amount_by_category()` to `data-science/analysi,"Add a function `average_amount_by_category()` to `data-science/analysis.py`.

Work in the `data-science/` folder (see data-science/analysis.py and dataset.csv). Claim this issue by commenting before you start.","track:data-science,tier:2,challenge"
